id;key;first_name;last_name;team_role;exchange_allowed
1;340;Gordon;Harris;reflecting enrich;true
2;14063;Elaina;Kiehn-O'Connell;deliver forenenst curiously;true
3;15242;Haven;Spinka-Purdy;viciously shoestring act;true
4;29748;Beverly;Rolfson;since upbeat;false
5;27942;Rahul;Lakin;afore;false
6;25296;Araceli;Schoen;ouch deafening unlike;false
7;11385;Sunny;Crist;dibble;false
8;8580;Cordell;Reilly;butterfly praise triumphantly;false
9;21120;Salma;Bosco;finisher provided parcel;true
10;22912;Willie;Conroy;after um next;true
